uri,title,year
https://hdl.handle.net/11245/3.204,"Kaart der landeryen, gelegen aan of onder de rooyinge der Honderd Gaarden, ten westen van de Kostverlooren Vaart; van welken de gestreepten voor 't Geregt van Slooten, en de gestipten voor 't Geregt van Amsterdam moeten worden opgedraagen, in gevolge der overeenkomst van den jaare 1669 /",1767
https://hdl.handle.net/11245/3.2049,De Wormer.,1635
https://hdl.handle.net/11245/3.2068,Belgium sive Inferior Germania post omnes in hac forma exactissime descripta /,1616
https://hdl.handle.net/11245/3.2069,Tvrcici Imperii descriptio,1579
https://hdl.handle.net/11245/3.207,"Kaerte van T Landt van Waes en Hulster Ambacht : mitgaders een gedeelte van Zelandt, waer in mede vertoont wert, het verdeelen vande Rivieren t'Scheldt ende de Honte, met haer ondiepten, Schorren,Polders, Schansen,Redouten, ende Dycken /",1640
https://hdl.handle.net/11245/3.2077,Wachtendonck /,1620
https://hdl.handle.net/11245/3.2081,"Paskaarte van de, Zuyder Zee, met alle des zelfs inkomende gaaten: sooals die op 't zeekerts konnen bezeyld worden: naa haare correkte course, opdoeningen, droogten en diepten. A° 1771.",1771
https://hdl.handle.net/11245/3.2082,Comitatus Hannoniae et Archiepiscopatus Cameracensis tabula,1677
https://hdl.handle.net/11245/3.2091,"[Fragment van een kaart der XVII Verenigde Nederlanden, waarop Henegouwen, het westelijk deel der provincie Namen en het oostelijk deel van het huidige Franse Département du Nord].",1594
https://hdl.handle.net/11245/3.2103,Humoristische Karte von Europa im Jahre 1870,1870
https://hdl.handle.net/11245/3.2104,"Nova et denuo correcta Germaniae tabula, comprehendens X circulos, Regnum Bohemiae, ac universum Helvetiam; cum coeteris regionibus in annexis",1690
https://hdl.handle.net/11245/3.2108,Belgii veteris typvs,1594
https://hdl.handle.net/11245/3.2109,Kennemaria et Westfrisia vulgo et vernaculé Noord-Holland tam in minores quam praecipuas ditiones peraccuraté distincta et edita /,1682
https://hdl.handle.net/11245/3.2112,"Frisiae Dominium vernacule Friesland : verdeeld in de Hoofd-deelen van Oostergoo, Westergoo en Sevenwolden : als ook de 11 Steden zynde noch onderschyden in XXX Grieteneyn /",1750
https://hdl.handle.net/11245/3.2113,Tabula Aphfricae nova /,1596
https://hdl.handle.net/11245/3.2114,Agri Zypani nova descript[io].,1625
https://hdl.handle.net/11245/3.2126,Caerte van de Wormer met haere weegen wateringen en waeter-molens : bestaende in 119 cavelingen elck groot sĳnde 15 morgen van 600 Rĳnlantse roeden.,1668
https://hdl.handle.net/11245/3.2129,"Kaart der landeryen, gelegen aan of onder de honderd gaarden, zo in de Buitenvelder- als Stads-polder; van welken de gestreepten, voor 't geregt van Nieuwer-Amstel of Amsterveen, en de gestipten, voor 't geregt van Amsterdam, moeten opgedraagen worden, in gevolge der overeenkomst van den jaare 1669 /",1767
https://hdl.handle.net/11245/3.2138,Wegwijzer op de Tentoonstelling Amsterdam : extra gids = Guide unique de l'Exposition 1883.,1883
https://hdl.handle.net/11245/3.2140,Kaart van het eiland Walcheren,1753
https://hdl.handle.net/11245/3.2159,Wieringer-waert /,1650
https://hdl.handle.net/11245/3.217,"Fezzae et Marocchi regna Africae celeberrima,",1636
https://hdl.handle.net/11245/3.2171,Nieuwe kaart der stad Amsterdam : waarop zijn gebragt alle de voorgevallen veranderingen : benevens de uitgevoerd wordende kapitale werken van afsluiting der haven door een dijk met sluizen voorzien /... uit echte stukken zamengesteld ; gegraveerd door Dl. Veelwaard Junior.,1829
https://hdl.handle.net/11245/3.2181,"Florentissimi Trajectini principatus typus antehac nunq visus in quo urbis oppidorum pagorum castrorum provinciae atq praecipuoru nobilium monasteriorum fluviorum aquaeductuum principalumq, viaru, necnon finitimoru locorum situs accurate delineatus est /",1649
